size,rep,runtime
1048576,8,0.039898019000247587
1048576,9,0.03982805799751077
1048576,10,0.039870215998234926
1048576,11,0.039783173000614624
1048576,12,0.039312580000114394
1048576,13,0.03923834099987289
1048576,14,0.039323739998508245
1048576,15,0.03924547399947187
1048576,16,0.039276542000152403
1048576,17,0.039329141000052914
1048576,18,0.03928644099869416
1048576,19,0.03930330199727905
2097152,0,0.14718228499987163
2097152,1,0.14116656500118552
2097152,2,0.1393955100029416
2097152,3,0.1394714620000741
2097152,4,0.13948825400075293
2097152,5,0.1396050639996247
2097152,6,0.13953759699870716
2097152,7,0.1393654540006537
2097152,8,0.14106266900125775
2097152,9,0.14105794100032654
2097152,10,0.14115424099873053
2097152,11,0.1410709850024432
2097152,12,0.14109470900075394
2097152,13,0.14126149200092186
2097152,14,0.14132305800012546
2097152,15,0.1414072359984857
2097152,16,0.14148206599929836
2097152,17,0.14100420999966445
2097152,18,0.14113761000044178
2097152,19,0.14115945099911187
4194304,0,0.3475593620023574
4194304,1,0.33871716700014076
4194304,2,0.35257776000071317
4194304,3,0.33928377100164653
4194304,4,0.3423859430004086
4194304,5,0.3399664619973919
4194304,6,0.34513399899879005
4194304,7,0.3387719599995762
4194304,8,0.34569012300198665
4194304,9,0.3396577530002105
4194304,10,0.34313170200039167
4194304,11,0.33921564299816964
4194304,12,0.3418676500004949
4194304,13,0.3423864930009586
4194304,14,0.3397348070029693
4194304,15,0.3389053300015803
4194304,16,0.3384299280005507
4194304,17,0.3385632089994033
4194304,18,0.33911384100065334
4194304,19,0.3390381890021672
8388608,0,1.1187746089999564
8388608,1,1.0970719889992324
8388608,2,1.0944343080009276
8388608,3,1.110802696999599
8388608,4,1.1142966449988307
8388608,5,1.0935729920020094
8388608,6,1.087359611003194
8388608,7,1.0993137859986746
8388608,8,1.114840305999678
8388608,9,1.1058739469990542
8388608,10,1.0896922390020336
8388608,11,1.0966895209967333
8388608,12,1.0890583590007736
8388608,13,1.092221746002906
8388608,14,1.0984886580008606
8388608,15,1.0938231410000299
8388608,16,1.1041475880010694
8388608,17,1.1077733829988574
8388608,18,1.094383192998066
8388608,19,1.0905404909972276
16777216,0,2.318106282997178
16777216,1,2.3024598189986136
16777216,2,2.2825915819994407
16777216,3,2.2976137250007014
16777216,4,2.283951793997403
16777216,5,2.2851667040013126
16777216,6,2.31070123599784
16777216,7,2.301528269999835
16777216,8,2.3168955410001217
16777216,9,2.294845668999187
16777216,10,2.288932952000323
16777216,11,2.29413474499961
16777216,12,2.3123324980006146
16777216,13,2.3278180599991174
16777216,14,2.328023525999015
16777216,15,2.3280557860016415
16777216,16,2.313500620002742
16777216,17,2.293376271001762
16777216,18,2.322588135000842
16777216,19,2.2891086419986095
33554432,0,5.243108227001358
33554432,1,5.199819615998422
33554432,2,5.24771979200159
33554432,3,5.208669244002522
33554432,4,5.20054046900259
33554432,5,5.141219758999796
33554432,6,5.245642754001892
33554432,7,5.152224200999626
33554432,8,5.210774947001482
33554432,9,5.224049590000504
33554432,10,5.248132838001766
33554432,11,5.2363026259990875
33554432,12,5.260654016001354
33554432,13,5.228552781001781
33554432,14,5.253806275002717
33554432,15,5.2088686380011495
33554432,16,5.170559301001049
33554432,17,5.163218835001317
33554432,18,5.224832990003051
33554432,19,5.171277790002932
