impl,size,delay,interval,rep,interrupted,latency,checks
simple,2097152,0.02,0.001,26,True,1.2296000000001917e-05,36285
simple,2097152,0.02,0.001,27,True,1.2717000000002365e-05,36775
simple,2097152,0.02,0.001,28,True,1.2536999999999965e-05,36503
simple,2097152,0.02,0.001,29,True,1.2737000000002247e-05,36758
simple,2097152,0.02,0.005,0,True,1.4431000000002248e-05,19193
simple,2097152,0.02,0.005,1,True,1.1565000000001574e-05,35981
simple,2097152,0.02,0.005,2,True,1.2767000000000334e-05,36333
simple,2097152,0.02,0.005,3,True,0.00020391700000000137,36801
simple,2097152,0.02,0.005,4,True,1.2798000000001364e-05,36359
simple,2097152,0.02,0.005,5,True,1.3568000000001995e-05,36862
simple,2097152,0.02,0.005,6,True,1.2826999999999977e-05,36764
simple,2097152,0.02,0.005,7,True,1.270700000000069e-05,36884
simple,2097152,0.02,0.005,8,True,1.219600000000251e-05,36808
simple,2097152,0.02,0.005,9,True,1.2658000000002195e-05,36825
simple,2097152,0.02,0.005,10,True,1.185600000000106e-05,36288
simple,2097152,0.02,0.005,11,True,1.2587000000001403e-05,36438
simple,2097152,0.02,0.005,12,True,1.270700000000069e-05,36796
simple,2097152,0.02,0.005,13,True,1.219600000000251e-05,36800
simple,2097152,0.02,0.005,14,True,1.3649000000000994e-05,36653
simple,2097152,0.02,0.005,15,True,1.3859000000001481e-05,36794
simple,2097152,0.02,0.005,16,True,1.2928000000002327e-05,36607
simple,2097152,0.02,0.005,17,True,1.1605000000001336e-05,36563
simple,2097152,0.02,0.005,18,True,1.3008000000001851e-05,36743
simple,2097152,0.02,0.005,19,True,1.270700000000069e-05,36747
simple,2097152,0.02,0.005,20,True,1.6233000000000913e-05,36387
simple,2097152,0.02,0.005,21,True,1.2757000000002128e-05,36942
simple,2097152,0.02,0.005,22,True,1.2306999999999596e-05,36808
simple,2097152,0.02,0.005,23,True,1.2777000000002009e-05,36585
simple,2097152,0.02,0.005,24,True,1.2767999999999807e-05,36666
simple,2097152,0.02,0.005,25,True,1.2727000000000571e-05,36381
simple,2097152,0.02,0.005,26,True,1.3068000000001495e-05,36531
simple,2097152,0.02,0.005,27,True,1.2777000000002009e-05,36406
simple,2097152,0.02,0.005,28,True,1.3017000000000584e-05,35821
simple,2097152,0.02,0.005,29,True,1.2497000000000202e-05,36686
simple,2097152,0.02,0.01,0,True,1.4882000000000783e-05,19341
simple,2097152,0.02,0.01,1,True,1.1295000000001443e-05,36183
simple,2097152,0.02,0.01,2,True,0.00018869700000000156,36801
simple,2097152,0.02,0.01,3,True,1.201600000000011e-05,36491
simple,2097152,0.02,0.01,4,True,1.3228000000000545e-05,36789
simple,2097152,0.02,0.01,5,True,1.2838000000001126e-05,36567
simple,2097152,0.02,0.01,6,True,1.3177999999999107e-05,36741
simple,2097152,0.02,0.01,7,True,1.5703000000002326e-05,36860
simple,2097152,0.02,0.01,8,True,1.2918000000000651e-05,36869
simple,2097152,0.02,0.01,9,True,1.2977000000000821e-05,36703
simple,2097152,0.02,0.01,10,True,1.2417000000000677e-05,36999
simple,2097152,0.02,0.01,11,True,1.3478000000000795e-05,36799
simple,2097152,0.02,0.01,12,True,1.1836000000001179e-05,35675
simple,2097152,0.02,0.01,13,True,1.2486000000002523e-05,36884
simple,2097152,0.02,0.01,14,True,1.2155999999999278e-05,36804
simple,2097152,0.02,0.01,15,True,1.2467000000002115e-05,36971
simple,2097152,0.02,0.01,16,True,1.3399000000000744e-05,37036
simple,2097152,0.02,0.01,17,True,1.2926999999999383e-05,36535
simple,2097152,0.02,0.01,18,True,1.2306000000000122e-05,36939
simple,2097152,0.02,0.01,19,True,1.4159999999999173e-05,36475
simple,2097152,0.02,0.01,20,True,1.2998000000000176e-05,36495
simple,2097152,0.02,0.01,21,True,1.34290000000023e-05,36624
simple,2097152,0.02,0.01,22,True,1.2777000000002009e-05,36566
simple,2097152,0.02,0.01,23,True,1.2456000000000966e-05,36341
simple,2097152,0.02,0.01,24,True,1.3218000000002339e-05,36464
simple,2097152,0.02,0.01,25,True,1.2747999999999926e-05,36371
simple,2097152,0.02,0.01,26,True,1.0964000000002194e-05,36294
simple,2097152,0.02,0.01,27,True,1.1676000000002129e-05,36176
simple,2097152,0.02,0.01,28,True,1.2477000000000321e-05,36673
simple,2097152,0.02,0.01,29,True,1.254700000000164e-05,36413
simple,2097152,0.02,0.05,0,True,1.3117999999999463e-05,36698
simple,2097152,0.02,0.05,1,True,1.2266999999999834e-05,36523
simple,2097152,0.02,0.05,2,True,1.2147000000000546e-05,36261
simple,2097152,0.02,0.05,3,True,1.2266999999999834e-05,36180
simple,2097152,0.02,0.05,4,True,1.2186000000000835e-05,36388
simple,2097152,0.02,0.05,5,True,1.3188000000000782e-05,36273
simple,2097152,0.02,0.05,6,True,1.2256000000002154e-05,36180
simple,2097152,0.02,0.05,7,True,1.2075999999999754e-05,35710
simple,2097152,0.02,0.05,8,True,1.2826999999999977e-05,36595
simple,2097152,0.02,0.05,9,True,1.2837000000001653e-05,36527
simple,2097152,0.02,0.05,10,True,1.1535000000000017e-05,35940
simple,2097152,0.02,0.05,11,True,1.2647000000001046e-05,36242
simple,2097152,0.02,0.05,12,True,1.185600000000106e-05,36121
simple,2097152,0.02,0.05,13,True,1.2445999999999291e-05,36376
simple,2097152,0.02,0.05,14,True,1.2777000000002009e-05,36205
simple,2097152,0.02,0.05,15,True,1.2556999999999846e-05,35668
simple,2097152,0.02,0.05,16,True,1.3558999999999793e-05,36507
simple,2097152,0.02,0.05,17,True,1.2897000000001296e-05,36504
simple,2097152,0.02,0.05,18,True,1.2126000000001191e-05,36323
simple,2097152,0.02,0.05,19,True,1.2066000000001548e-05,36392
simple,2097152,0.02,0.05,20,True,1.2166000000000954e-05,36248
simple,2097152,0.02,0.05,21,True,1.2427000000002353e-05,36191
simple,2097152,0.02,0.05,22,True,1.273800000000172e-05,36439
simple,2097152,0.02,0.05,23,True,1.2206000000000716e-05,36616
simple,2097152,0.02,0.05,24,True,1.3018000000000057e-05,36795
simple,2097152,0.02,0.05,25,True,1.1975000000000874e-05,34347
simple,2097152,0.02,0.05,26,True,1.157499999999978e-05,30962
simple,2097152,0.02,0.05,27,True,1.2346999999999358e-05,34775
simple,2097152,0.02,0.05,28,True,1.1674999999999186e-05,35652
simple,2097152,0.02,0.05,29,True,1.2296000000001917e-05,35580
simple,2097152,0.02,0.1,0,True,1.1605000000001336e-05,35257
simple,2097152,0.02,0.1,1,True,1.2718000000001839e-05,35998
simple,2097152,0.02,0.1,2,True,1.1614999999999542e-05,35944
simple,2097152,0.02,0.1,3,True,1.2667000000000928e-05,36617
