size,delay,rep,interrupted,latency
16777216,0.005,122,True,0.9235089250006422
16777216,0.005,123,True,0.9209472509984334
16777216,0.005,124,True,0.9216316579996783
16777216,0.005,125,True,0.9261307819989452
16777216,0.005,126,True,0.9217947139996977
16777216,0.005,127,True,0.917165784999379
16777216,0.005,128,True,0.923392376001284
16777216,0.005,129,True,0.9203399000008358
16777216,0.005,130,True,0.9217026300003636
16777216,0.005,131,True,0.9218782610015478
16777216,0.005,132,True,0.9223607979994267
16777216,0.005,133,True,0.9208248410005763
16777216,0.005,134,True,0.9210986549998051
16777216,0.005,135,True,0.9230570060000173
16777216,0.005,136,True,0.920607281998964
16777216,0.005,137,True,0.9202049360002275
16777216,0.005,138,True,0.9245113690022845
16777216,0.005,139,True,0.9234948480017192
16777216,0.005,140,True,0.921488649998646
16777216,0.005,141,True,0.9228808149974793
16777216,0.005,142,True,0.9248579699971015
16777216,0.005,143,True,0.9218961849993502
